City,Restaurant,Category
Bangalore,404 by TOF,High Risk
Bangalore,Bier Loft Brewing Co,Medium Risk
Bangalore,Go Native,Medium Risk
Bangalore,Homiga,Medium Risk
Bangalore,Ironhill Kanakapura road,Medium Risk
Bangalore,Jamming Goat 3.0,Medium Risk
Bangalore,Jollygunj,Medium Risk
Bangalore,Kling Brewery,Medium Risk
Bangalore,KoMaama,Medium Risk
Bangalore,Maddy's Resto Pub,Medium Risk
Bangalore,Maya,Medium Risk
Bangalore,Phurr,Medium Risk
Bangalore,Rox,Medium Risk
Bangalore,Scottish Pub,Medium Risk
Bangalore,SkyDeck By Sherlock's,Medium Risk
Bangalore,Sozo Skyline,Medium Risk
Bangalore,Stories 2.0,Medium Risk
Bangalore,Street Storyss,Medium Risk
Bangalore,The Palms Brew & Kitchen,Medium Risk
Bangalore,Xero Degrees,Medium Risk
Coimbatore,Barbeque Nation,High Risk
Coimbatore,Bread Korner,Medium Risk
Coimbatore,Bulls & Bears Bistro,Medium Risk
Coimbatore,CafÃ© CakeBee,Medium Risk
Coimbatore,CakeBee,High Risk
Coimbatore,Chin Chin - The Residency Hotel,Medium Risk
Coimbatore,Famous Biryani House,High Risk
Coimbatore,Luna Rooftop and Lounge,Medium Risk
Coimbatore,Mufasa,Medium Risk
Coimbatore,Sherlock's - Lounge & Kitchen,Medium Risk
Coimbatore,Sree Annapoorna Sree Gowrishankar,Medium Risk
Coimbatore,Sri Krishna Sweets,High Risk
Coimbatore,Sri Krishnaa Tiffin Room,High Risk
Coimbatore,The Asian Stories,Medium Risk
Coimbatore,The Bermuda,Medium Risk
Coimbatore,The Cavern @312,Medium Risk
Coimbatore,The Edition - Library Bar - The Residency Hotel,High Risk
Coimbatore,The Living Room,Medium Risk
Coimbatore,Valarmathi Kongunaatu Samayal,High Risk
Hyderabad,Bourbon & Breeze Rooftop Bar & Kitchen,Medium Risk
Hyderabad,Butterfly High,Medium Risk
Hyderabad,Daily Rituals,Medium Risk
Hyderabad,Habitat Cafe,Medium Risk
Hyderabad,Hanok - Seoulful Food,Medium Risk
Hyderabad,Jolly Bros & Co.,Medium Risk
Hyderabad,Kadali Kitchen,Medium Risk
Hyderabad,Kavyam The Telugu Table,High Risk
Hyderabad,Lé Vantage Cafe Bar,Medium Risk
Hyderabad,MOAI,Medium Risk
Hyderabad,Mamalola Penthouse Bar & Kitchen,Medium Risk
Hyderabad,Masterpiece,Medium Risk
Hyderabad,Medley,Medium Risk
Hyderabad,Okra - Hyderabad Marriott Hotel & Convention Centre,High Risk
Hyderabad,PaPaYa - Modern Asian Bistro,Medium Risk
Hyderabad,RAEN - The Leela,Medium Risk
Hyderabad,Saffron Soul - Marigold Hotel,Medium Risk
Hyderabad,Thangedu,High Risk
Hyderabad,Tre-Forni Restaurant And Bar - Park Hyatt,Medium Risk
Hyderabad,Verandah - The Park,Medium Risk
Madurai,A2B - Adyar Ananda Bhavan,Medium Risk
Madurai,Amsavalli Bhavan,High Risk
Madurai,Annapoorna Mithai,Medium Risk
Madurai,Barbeque Nation,Medium Risk
Madurai,Burger Time,High Risk
Madurai,Cafe TN59,High Risk
Madurai,Dindigul Thalappakatti  Since 1957,Medium Risk
Madurai,Hotel Gowri Krishna Veg,Medium Risk
Madurai,Hotel New Sri Sabareesh,Medium Risk
Madurai,Hotel Sree Sabarees,Medium Risk
Madurai,KFC,High Risk
Madurai,Krishnan Mess,High Risk
Madurai,Modern Restaurant,High Risk
Madurai,Mug & Beans,Medium Risk
Madurai,Sharief Bhai Biryani,High Risk
Madurai,Temple City - Family Veg Restaurant,Medium Risk
Madurai,The Banyan Resturant,Medium Risk
Trichy,Ammikal Restaurant,Medium Risk
Trichy,BENNE BHAVAN,Medium Risk
Trichy,Cafe Cake Bee,Medium Risk
Trichy,CakeBee,Medium Risk
Trichy,Cascade Cafe,Medium Risk
Trichy,Dindigul Thalappakatti  Since 1957,High Risk
Trichy,Grill Chicken,Low Risk
Trichy,Hotel Raja,High Risk
Trichy,KFC,Medium Risk
Trichy,KMS Hakkim Kalyana Biriyani Restaurant,High Risk
Trichy,Mogal Biryani,Medium Risk
Trichy,Pizza Hut,Medium Risk
Trichy,Sethuraman Mess,High Risk
Trichy,Sharief Bhai Biryani,Medium Risk
Trichy,Shri Sangeethas,Medium Risk
Trichy,Suvai Biryani Family Restaurant,Medium Risk
Trichy,Suvai Briyani Family Restaurant,Medium Risk
Trichy,Tambura Pure Veg Restaurant,Low Risk
Trichy,Thamboora Restaurant,Medium Risk
chennai,Cocomaya,Medium Risk
chennai,Garrison,Medium Risk
chennai,Haunted,High Risk
chennai,Khaas - The Elevated Indian Kitchen & Bar,Medium Risk
chennai,Lexxus,Medium Risk
chennai,Limited Edition - The Premium Lounge,High Risk
chennai,Locofeast,Medium Risk
chennai,Lord of the Drinks,Medium Risk
chennai,Macaw By Stories,Medium Risk
chennai,Noci Restobar,Medium Risk
chennai,Oasis - Radisson Blu,Medium Risk
chennai,Pa Pa Ya,Medium Risk
chennai,SOS - Same Old Story,High Risk
chennai,The Big Barbeque,High Risk
chennai,The Black Pearl,Medium Risk
chennai,The Great Kabab Factory - Radisson Blu,Medium Risk
chennai,The Madras Taproom,Medium Risk
chennai,The Summer House Eatery,High Risk
chennai,Thulsi,High Risk
chennai,You Mee,Medium Risk
